pubchem_cid,pubchem_inchi,pubchem_smiles,name,origin,pIC50
56665262.0,"InChI=1S/C26H25FN4O3/c1-17-8-9-18(27)16-21(17)34-26-23(25(32)30-14-12-28-13-15-30)20-10-11-22(33-2)29-24(20)31(26)19-6-4-3-5-7-19/h3-11,16,28H,12-15H2,1-2H3",CC1=C(C=C(C=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)N=C(C=C3)OC)C(=O)N5CCNCC5,b3a4d,BMCL2011B,7.8239
52943342.0,"InChI=1S/C26H24FN3O2/c1-18-8-7-12-21(27)24(18)32-26-23(25(31)29-16-14-28-15-17-29)20-11-5-6-13-22(20)30(26)19-9-3-2-4-10-19/h2-13,28H,14-17H2,1H3",CC1=C(C(=CC=C1)F)OC2=C(C3=CC=CC=C3N2C4=CC=CC=C4)C(=O)N5CCNCC5,b1i2k,BMCL2010,7.7959
44158647.0,"InChI=1S/C26H23ClFN3O/c27-21-10-6-11-22(28)20(21)17-24-25(26(32)30-15-13-29-14-16-30)19-9-4-5-12-23(19)31(24)18-7-2-1-3-8-18/h1-12,29H,13-17H2",C1CN(CCN1)C(=O)C2=C(N(C3=CC=CC=C32)C4=CC=CC=C4)CC5=C(C=CC=C5Cl)F,b1i2o,BMCL2010,7.7447
52944414.0,"InChI=1S/C26H30FN3O/c1-18-19(7-6-11-22(18)27)17-24-25(26(31)29-15-13-28-14-16-29)21-10-4-5-12-23(21)30(24)20-8-2-3-9-20/h4-7,10-12,20,28H,2-3,8-9,13-17H2,1H3",CC1=C(C=CC=C1F)CC2=C(C3=CC=CC=C3N2C4CCCC4)C(=O)N5CCNCC5,b1i4f,BMCL2010,7.6990
44160197.0,"InChI=1S/C26H25N3O2/c1-19-9-5-8-14-23(19)31-26-24(25(30)28-17-15-27-16-18-28)21-12-6-7-13-22(21)29(26)20-10-3-2-4-11-20/h2-14,27H,15-18H2,1H3",CC1=CC=CC=C1OC2=C(C3=CC=CC=C3N2C4=CC=CC=C4)C(=O)N5CCNCC5,b1i2e,BMCL2010,7.6778
44158792.0,"InChI=1S/C25H23FN4O2/c1-17-9-10-18(26)16-21(17)32-25-22(24(31)29-14-12-27-13-15-29)23-20(8-5-11-28-23)30(25)19-6-3-2-4-7-19/h2-11,16,27H,12-15H2,1H3",CC1=C(C=C(C=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNCC5,b2a3hr,BMCL2011A,7.6198
52946960.0,"InChI=1S/C27H26FN3O3/c1-18-8-9-19(28)16-24(18)34-27-25(26(32)30-14-12-29-13-15-30)22-11-10-21(33-2)17-23(22)31(27)20-6-4-3-5-7-20/h3-11,16-17,29H,12-15H2,1-2H3",CC1=C(C=C(C=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)C=C(C=C3)OC)C(=O)N5CCNCC5,b1i5a,BMCL2010,7.6198
56678907.0,"InChI=1S/C25H23FN4O3/c1-16-7-8-17(26)13-21(16)33-25-23(24(32)29-11-9-27-10-12-29)19-15-28-22(31)14-20(19)30(25)18-5-3-2-4-6-18/h2-8,13-15,27H,9-12H2,1H3,(H,28,31)",CC1=C(C=C(C=C1)F)OC2=C(C3=CNC(=O)C=C3N2C4=CC=CC=C4)C(=O)N5CCNCC5,b3a6d,BMCL2011B,7.6198
52949120.0,"InChI=1S/C35H34FN3O3/c1-25-26(9-8-14-31(25)36)23-33-34(35(40)38-19-17-37-18-20-38)30-16-15-29(42-22-21-41-28-12-6-3-7-13-28)24-32(30)39(33)27-10-4-2-5-11-27/h2-16,24,37H,17-23H2,1H3",CC1=C(C=CC=C1F)CC2=C(C3=C(N2C4=CC=CC=C4)C=C(C=C3)OCCOC5=CC=CC=C5)C(=O)N6CCNCC6,b1i5m,BMCL2010,7.6198
44159022.0,"InChI=1S/C25H23FN4O2/c1-17-7-8-18(26)15-22(17)32-25-23(24(31)29-13-11-27-12-14-29)20-9-10-28-16-21(20)30(25)19-5-3-2-4-6-19/h2-10,15-16,27H,11-14H2,1H3",CC1=C(C=C(C=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)C=NC=C3)C(=O)N5CCNCC5,b2a6b,BMCL2011A,7.5686
